32768 ,33560 ,34349 ,35135 ,35914 ,36686 ,37449 ,38200 ,
38938 ,39660 ,40366 ,41053 ,41720 ,42365 ,42986 ,43583 ,
44153 ,44695 ,45208 ,45690 ,46141 ,46560 ,46944 ,47294 ,
47608 ,47886 ,48127 ,48330 ,48495 ,48622 ,48710 ,48759 ,
48768 ,48739 ,48671 ,48563 ,48417 ,48233 ,48011 ,47751 ,
47455 ,47123 ,46756 ,46355 ,45920 ,45453 ,44955 ,44427 ,
43871 ,43288 ,42679 ,42045 ,41389 ,40712 ,40015 ,39301 ,
38571 ,37826 ,37069 ,36302 ,35525 ,34743 ,33955 ,33164 ,
32373 ,31582 ,30794 ,30012 ,29235 ,28468 ,27711 ,26966 ,
26236 ,25522 ,24825 ,24148 ,23492 ,22858 ,22249 ,21666 ,
21110 ,20582 ,20084 ,19617 ,19182 ,18781 ,18414 ,18082 ,
17786 ,17526 ,17304 ,17120 ,16974 ,16866 ,16798 ,16768 ,
16778 ,16827 ,16915 ,17042 ,17207 ,17410 ,17651 ,17929 ,
18243 ,18593 ,18977 ,19396 ,19847 ,20329 ,20842 ,21384 ,
21954 ,22551 ,23172 ,23817 ,24484 ,25171 ,25877 ,26599 ,
27337 ,28088 ,28851 ,29623 ,30402 ,31188 ,31977 ,32768 ,
