48768 ,48749 ,48690 ,48593 ,48456 ,48281 ,48069 ,47819 ,
47532 ,47208 ,46850 ,46457 ,46031 ,45572 ,45082 ,44561 ,
44012 ,43435 ,42832 ,42205 ,41555 ,40882 ,40191 ,39481 ,
38754 ,38013 ,37259 ,36494 ,35720 ,34939 ,34152 ,33362 ,
32571 ,31780 ,30991 ,30207 ,29429 ,28659 ,27900 ,27152 ,
26418 ,25699 ,24998 ,24316 ,23654 ,23015 ,22400 ,21810 ,
21247 ,20712 ,20206 ,19732 ,19289 ,18879 ,18503 ,18163 ,
17857 ,17589 ,17357 ,17163 ,17008 ,16891 ,16813 ,16773 ,
16773 ,16813 ,16891 ,17008 ,17163 ,17357 ,17589 ,17857 ,
18163 ,18503 ,18879 ,19289 ,19732 ,20206 ,20712 ,21247 ,
21810 ,22400 ,23015 ,23654 ,24316 ,24998 ,25699 ,26418 ,
27152 ,27900 ,28659 ,29429 ,30207 ,30991 ,31780 ,32571 ,
33362 ,34152 ,34939 ,35720 ,36494 ,37259 ,38013 ,38754 ,
39481 ,40191 ,40882 ,41555 ,42205 ,42832 ,43435 ,44012 ,
44561 ,45082 ,45572 ,46031 ,46457 ,46850 ,47208 ,47532 ,
47819 ,48069 ,48281 ,48456 ,48593 ,48690 ,48749 ,48768 ,
