65532 ,55936 ,51684 ,49149 ,47420 ,46143 ,45151 ,44351 ,
43688 ,43128 ,42646 ,42225 ,41854 ,41524 ,41227 ,40958 ,
40713 ,40490 ,40284 ,40093 ,39917 ,39752 ,39599 ,39455 ,
39320 ,39192 ,39072 ,38959 ,38851 ,38749 ,38651 ,38559 ,
38470 ,38386 ,38305 ,38227 ,38153 ,38082 ,38013 ,37947 ,
37884 ,37822 ,37763 ,37706 ,37651 ,37598 ,37546 ,37496 ,
37447 ,37400 ,37355 ,37310 ,37267 ,37225 ,37185 ,37145 ,
37106 ,37069 ,37032 ,36997 ,36962 ,36928 ,36895 ,36862 ,
36831 ,36800 ,36770 ,36740 ,36711 ,36683 ,36655 ,36628 ,
36601 ,36575 ,36550 ,36525 ,36501 ,36477 ,36453 ,36430 ,
36407 ,36385 ,36363 ,36342 ,36320 ,36300 ,36279 ,36259 ,
36240 ,36220 ,36201 ,36183 ,36164 ,36146 ,36128 ,36111 ,
36093 ,36076 ,36060 ,36043 ,36027 ,36011 ,35995 ,35979 ,
35964 ,35949 ,35934 ,35919 ,35905 ,35891 ,35877 ,35863 ,
35849 ,35835 ,35822 ,35809 ,35796 ,35783 ,35770 ,35758 ,
35745 ,35733 ,35721 ,35709 ,35697 ,35686 ,35674 ,35663 ,
