32769 ,33165 ,33560 ,33953 ,34342 ,34728 ,35110 ,35485 ,
35854 ,36215 ,36568 ,36912 ,37245 ,37568 ,37878 ,38177 ,
38462 ,38733 ,38989 ,39230 ,39456 ,39665 ,39857 ,40032 ,
40189 ,40328 ,40449 ,40550 ,40633 ,40696 ,40740 ,40765 ,
40769 ,40755 ,40721 ,40667 ,40594 ,40502 ,40391 ,40261 ,
40113 ,39947 ,39763 ,39563 ,39345 ,39112 ,38863 ,38599 ,
38321 ,38029 ,37725 ,37408 ,37080 ,36741 ,36393 ,36036 ,
35671 ,35298 ,34920 ,34536 ,34148 ,33757 ,33363 ,32967 ,
32572 ,32176 ,31782 ,31391 ,31003 ,30619 ,30241 ,29868 ,
29503 ,29146 ,28798 ,28459 ,28131 ,27814 ,27510 ,27218 ,
26940 ,26676 ,26427 ,26194 ,25976 ,25776 ,25592 ,25426 ,
25278 ,25148 ,25037 ,24945 ,24872 ,24818 ,24784 ,24769 ,
24774 ,24799 ,24843 ,24906 ,24989 ,25090 ,25211 ,25350 ,
25507 ,25682 ,25874 ,26083 ,26309 ,26550 ,26806 ,27077 ,
27362 ,27661 ,27971 ,28294 ,28627 ,28971 ,29324 ,29685 ,
30054 ,30429 ,30811 ,31197 ,31586 ,31979 ,32374 ,32769 ,
